,区县,学区,小学名称,数据库id,小学名称-清理,confidence,level,precise,0,lat,lng,note
817,西城,西长安街学区,北京实验二小长安校区,11882,北京第二实验小学长安校区,80,教育,1,,39.91075,116.392496,名字来源：http://www.bjsyex.cn/cms/desyxx/xxdt/131.jhtml 坐标地址反查
823,西城,西长安街学区,力学小学,,力学小学,80,教育,1,,39.917475,116.384482,
830,西城,西长安街学区,顺城街第一小学,15792,顺城街第一小学,80,教育,1,,39.90674120345091,116.38417331719405,
838,西城,西长安街学区,自忠小学,15244,自忠小学,70,教育,1,,39.923799519164334,116.38817277813813,
859,西城,新街口学区,第二实验小学玉桃园分校（原玉桃园小学）,18496,第二实验小学玉桃园分校,80,UNKNOWN,1,,39.948218890706364,116.36924152939696,
862,西城,新街口学区,北京师范大学京师附小,18223,北京师范大学京师附小,50,UNKNOWN,0,,39.96724005583474,116.373748603022,
879,西城,新街口学区,黄城根小学官园校区（原官园小学）,10772,黄城根小学官园校区,60,教育,0,,39.937423385648536,116.37106784827843,
889,西城,新街口学区,四根柏小学,14825,四根柏小学,80,教育,1,,39.941928510773415,116.37510070822137,
893,西城,新街口学区,中华路小学,13653,中华路小学,,,,,39.943857,116.367201,手动查询
898,西城,月坛学区,北京第二实验小学白云路分校（原白云路小学）,11207,北京第二实验小学白云路分校,60,教育,0,,39.91000897691294,116.37378306202135,
913,西城,月坛学区,北京市西城区复兴门外第一小学,9156,北京市西城区复兴门外第一小学,75,教育,1,,39.916222074127546,116.35450070787668,
918,西城,月坛学区,三里河第三小学,9666,三里河第三小学,80,教育,1,,39.91700209286044,116.34424722600603,
930,西城,月坛学区,育民小学,13645,育民小学,,,,,39.911983,116.356448,手动查询
944,西城,月坛学区,中古友谊小学,11060,中古友谊小学,80,教育,1,,39.92163624135342,116.34649569368055,
954,西城,展览路学区,北京建筑大学附属小学（原文兴街小学）,8498,北京建筑大学附属小学,10,城市,0,,39.940948,116.343334,
957,西城,展览路学区,奋斗小学北校区,13805,奋斗小学北校区,80,教育,1,,39.904688750131946,116.374225574502,
964,西城,展览路学区,阜成门外第一小学,15094,阜成门外第一小学,75,教育,1,,39.92775476963869,116.35679375575876,
982,西城,展览路学区,进步小学,8394,进步小学,80,教育,1,,39.942547155594944,116.35344248781644,
997,西城,展览路学区,展览路第一小学,8494,展览路第一小学,80,教育,1,,39.935874709436256,116.34605082494454,
1000,西城,展览路学区,北京市西城外国语学校附属小学,15665,北京市西城外国语学校附属小学,75,教育,1,,39.94236735499616,116.35676641223735,
1012,西城,展览路学区,北礼士路第一小学,9537,北礼士路第一小学,80,教育,1,,39.93579474485927,116.35978334254683,
1018,西城,金融街学区,北京第二实验小学涭水河分校（原涭水河小学）,14347,北京第二实验小学涭水河分校,80,教育,1,,39.91081856128914,116.3926973498562,
1023,西城,什刹海学区,黄城根小学,,黄城根小学,80,教育,1,,39.93707580344605,116.38326917359656,
1027,西城,什刹海学区,鸦儿胡同小学,,鸦儿胡同小学,75,教育,1,,39.94865204766254,116.39750075740118,
1031,西城,西长安街学区,北京第一实验小学前门分校,,北京第一实验小学前门分校,80,教育,1,,39.88665439060204,116.3300584689166,
1034,西城,什刹海学区,什刹海小学,,什刹海小学,75,教育,1,,39.93554398630085,116.39990809759159,
1036,西城,西长安街学区,西四北四条小学,13717,西四北四条小学,75,教育,1,,39.93479421591021,116.37504132304072,
1058,海淀,八里庄学区,八里庄小学,11270,八里庄小学,,,,,39.933292,116.306351,手动查询
1065,海淀,八里庄学区,定慧里小学,,定慧里小学,80,教育,1,,39.928532165214676,116.28765314974144,
1079,海淀,八里庄学区,六一小学,,六一小学,,,,,39.934604,116.293143,手动查询
1096,海淀,八里庄学区,北京市海淀区实验小学,11120,北京市海淀区实验小学,80,教育,1,,39.93387,116.31596,
1099,海淀,八里庄学区,万泉小学曙光校区,11898,万泉小学曙光校区,80,教育,1,,39.95255,116.297156,
1121,海淀,八里庄学区,中国人民大学附属小学,10851,中国人民大学附属小学,75,教育,1,,39.97191605352947,116.28448813017542,
1137,海淀,八里庄学区,中国人民大学附属小学亮甲店分校（原亮甲店小学）,13106,中国人民大学附属小学亮甲店分校,50,UNKNOWN,0,,39.97612007328852,116.32171170157564,
1155,海淀,北太平庄学区,北方交通大学附属小学,16136,北方交通大学附属小学,80,教育,1,,39.951030460421784,116.355087055239,
1166,海淀,北太平庄学区,北京市海淀区星火小学,9888,北京市海淀区星火小学,75,教育,1,,39.95939949335336,116.37330369925206,
1179,海淀,北太平庄学区,学院路小学,18410,学院路小学,,,,,39.976855,116.35797,手动查询
1216,海淀,北太平庄学区,北京邮电大学附属小学（原今典小学）,12833,北京邮电大学附属小学,40,UNKNOWN,0,,39.96938614299574,116.36409008056856,
1253,海淀,北太平庄学区,中国农业科学院附属小学,15329,中国农业科学院附属小学,80,教育,1,,39.963326499028135,116.33463476506594,
1276,海淀,海淀学区,北京市八一学校小学部,14146,北京市八一学校小学部,75,UNKNOWN,1,,39.9838655511679,116.3146807694508,
1279,海淀,海淀学区,万泉河小学,11301,万泉河小学,80,教育,1,,39.992849151719135,116.30781613703179,
1295,海淀,海淀学区,万泉小学,12516,万泉小学,80,教育,1,,39.97655293759307,116.30836548678336,
1298,海淀,海淀学区,西颐小学,11429,西颐小学,80,教育,1,,39.970689249463376,116.31940265756735,
1309,海淀,海淀学区,中关村第三小学万柳校区,13748,中关村第三小学万柳校区,30,地产小区,0,,39.990852766876905,116.32460627997976,
1314,海淀,花园路学区,北京市海淀区九一小学,16002,北京市海淀区九一小学,75,教育,1,,39.984909410057654,116.36891265166498,
1318,海淀,花园路学区,民族小学,,民族小学,80,UNKNOWN,1,,39.977843,116.383149,
1321,海淀,花园路学区,前进小学,11923,前进小学,,,,,39.980441,116.366575,手动查询
